1,weight,dam,gender,dose
134,5.78,11,male,low
135,6.23,11,male,low
136,5.7,11,male,low
137,5.73,11,male,low
138,6.1,11,male,low
139,5.55,11,male,low
140,5.71,11,male,low
141,5.81,11,male,low
142,6.1,11,male,low
143,5.54,11,female,low
144,5.72,11,female,low
145,5.5,11,female,low
146,5.64,11,female,low
147,5.42,11,female,low
148,5.42,11,female,low
149,6.89,12,female,low
150,7.73,12,female,low
151,5.83,13,male,low
152,5.97,13,male,low
153,6.39,13,male,low
154,5.69,13,male,low
155,5.69,13,male,low
156,5.97,13,male,low
157,6.04,13,male,low
158,5.46,13,male,low
159,6.09,13,female,low
160,5.39,13,female,low
161,5.89,13,female,low
162,5.14,13,female,low
163,5.92,14,male,low
164,5.75,14,male,low
165,6.22,14,male,low
166,5.96,14,male,low
167,5.59,14,male,low
168,5.79,14,male,low
169,6.23,14,male,low
170,5.88,14,male,low
171,6.02,14,male,low
172,5.66,14,female,low
173,5.76,14,female,low
174,5.73,14,female,low
175,5.33,14,female,low
176,5.58,14,female,low
177,5.88,14,female,low
178,6,15,male,low
179,6.11,15,male,low
180,6.4,15,male,low
181,6.06,15,male,low
182,6.39,15,male,low
183,6.09,15,male,low
184,6.32,15,male,low
185,5.96,15,female,low
186,6.32,15,female,low
187,5.83,15,female,low
188,5.97,15,female,low
189,5.87,15,female,low
190,5.67,15,female,low
191,6.43,16,male,low
192,6.13,16,male,low
193,5.87,16,male,low
194,6.09,16,female,low
195,5.63,16,female,low
196,5.84,16,female,low
197,6.2,16,female,low
198,6.42,16,female,low
199,5.9,16,female,low
200,5.62,16,female,low
201,6.23,16,female,low
202,5.85,16,female,low
203,5.89,16,female,low
204,5.81,17,male,low
205,5.44,17,male,low
206,5.65,17,male,low
207,5.25,17,male,low
208,5.45,17,male,low
209,5.32,17,male,low
210,5.89,17,male,low
211,5.63,17,female,low
212,5.12,17,female,low
213,5.65,17,female,low
214,5.29,17,female,low
215,5.13,17,female,low
216,5.6,17,female,low
217,5.08,17,female,low
218,6.77,18,male,low
219,7.13,18,male,low
220,6.85,18,male,low
221,6.49,18,female,low
222,6.09,18,female,low
223,6.09,18,female,low
224,5.99,18,female,low
225,6.01,18,female,low
226,6.11,18,female,low
227,6.15,18,female,low
228,4.75,18,female,low
229,5.69,18,female,low
230,6.19,18,female,low
231,5.72,18,female,low
232,6.14,18,female,low
233,6.72,19,male,low
234,6.34,19,male,low
235,6.48,19,male,low
236,5.74,19,male,low
237,6.11,19,female,low
238,5.71,19,female,low
239,6.41,19,female,low
240,6.21,19,female,low
241,6.11,19,female,low
242,5.81,19,female,low
243,5.9,20,male,high
244,6.22,20,male,high
245,6.67,20,male,high
246,6.23,20,male,high
247,6.24,20,male,high
248,6.26,20,male,high
249,6.38,20,male,high
250,6.05,20,male,high
251,5.89,20,male,high
252,6.29,20,male,high
253,6.12,20,female,high
254,5.4,20,female,high
255,5.5,20,female,high
256,5.46,20,female,high
257,5.97,20,female,high
258,6.11,20,female,high
259,5.09,21,male,high
260,5.57,21,male,high
261,5.69,21,male,high
262,5.5,21,male,high
263,5.45,21,male,high
264,5.24,21,male,high
265,5.36,21,male,high
266,5.26,21,male,high
267,5.36,21,male,high
268,5.01,21,male,high
269,5.03,21,male,high
270,5.23,21,female,high
271,5.13,21,female,high
272,4.48,21,female,high
273,5.3,22,male,high
274,5.4,22,male,high
275,5.55,22,male,high
276,6.02,22,male,high
277,5.27,22,male,high
278,5.19,22,female,high
279,5.42,22,female,high
280,5.4,22,female,high
281,5.12,22,female,high
282,5.4,22,female,high
283,7.7,23,male,high
284,7.68,23,female,high
285,6.33,23,female,high
286,6.28,24,male,high
287,5.74,24,male,high
288,6.29,24,male,high
289,5.68,24,female,high
290,5.76,24,female,high
291,6.03,24,female,high
292,5.3,24,female,high
293,5.55,24,female,high
294,6.53,24,female,high
295,5.76,24,female,high
296,5.77,24,female,high
297,5.49,24,female,high
298,6.5,25,male,high
299,7.1,25,male,high
300,7,25,male,high
301,7,25,male,high
302,5.85,25,male,high
303,6.1,25,female,high
304,6.63,25,female,high
305,6.33,25,female,high
306,7,26,male,high
307,6.15,26,male,high
308,6.22,26,female,high
309,6.2,26,female,high
310,5.76,26,female,high
311,6.21,26,female,high
312,6.42,26,female,high
313,6.42,26,female,high
314,6.3,26,female,high
315,5.64,27,male,high
316,6.06,27,male,high
317,6.56,27,male,high
318,6.29,27,male,high
319,5.69,27,male,high
320,6.36,27,male,high
321,5.93,27,female,high
322,5.74,27,female,high
323,5.74,27,female,high
